                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                       dq                                   csound 
                                      24                  9.9999999996556199E-001                  1.3731639434564044E-004                  3.8122756880131732E+000                 -6.5621083837827410E+000                  5.0658691724725013E+000                  7.2650091009028805E-001                  2.5473735130677327E-001                  1.8761738602938616E-002                  1.0003162326736570E+000                  1.5624999999999558E-012                  8.2551608063375391E+005 
                                      25                  9.9999999996399958E-001                  1.3615499702147708E-004                  3.8153934465574575E+000                 -6.5600652263751451E+000                  5.0710543045090226E+000                  7.2650091009028228E-001                  2.5473735130677816E-001                  1.8761738602939504E-002                  1.0003135576153936E+000                  1.5624999999999558E-012                  8.2749592307689972E+005 
                                      26                  9.9999999996243705E-001                  1.3499904145729123E-004                  3.8178114635490763E+000                 -6.5586547734564515E+000                  5.0749029682437055E+000                  7.2650091009026985E-001                  2.5473735130678826E-001                  1.8761738602941946E-002                  1.0003108950982948E+000                  7.8124999999998115E-013                  8.2899034587104444E+005 
                                      27                  9.9999999996165578E-001                  1.3442293427381330E-004                  3.8194477405470013E+000                 -6.5577584789879495E+000                  5.0774499392099832E+000                  7.2650091009025741E-001                  2.5473735130679870E-001                  1.8761738602943945E-002                  1.0003095681509488E+000                  7.8124999999998115E-013                  8.2998091711003601E+005 
                                      28                  9.9999999996087441E-001                  1.3384801254651070E-004                  3.8219385683051992E+000                 -6.5564797087647193E+000                  5.0812426258913188E+000                  7.2650091009024464E-001                  2.5473735130680930E-001                  1.8761738602946054E-002                  1.0003082439358182E+000                  1.5624999999999558E-012                  8.3145581159864296E+005 
                                      29                  9.9999999995931199E-001                  1.3270154298369288E-004                  3.8245096528073264E+000                 -6.5553162092792201E+000                  5.0850025171718567E+000                  7.2650091009023132E-001                  2.5473735130682024E-001                  1.8761738602948386E-002                  1.0003056032818629E+000                  7.8124999999998115E-013                  8.3293485810067155E+005 
                                      30                  9.9999999995853073E-001                  1.3212983848428489E-004                  3.8262460561254774E+000                 -6.5545818748916558E+000                  5.0874911613669171E+000                  7.2650091009021767E-001                  2.5473735130683151E-001                  1.8761738602950828E-002                  1.0003042864821761E+000                  7.8124999999998115E-013                  8.3390921290136070E+005 
                                      31                  9.9999999995774946E-001                  1.3155909759014691E-004                  3.8280058282864164E+000                 -6.5538859953383239E+000                  5.0899656390318100E+000                  7.2650091009020401E-001                  2.5473735130684300E-001                  1.8761738602953049E-002                  1.0003029719036780E+000                  7.8124999999997468E-013                  8.3487624543485139E+005 
                                      32                  9.9999999995696820E-001                  1.3098926822945774E-004                  3.8297879572953382E+000                 -6.5532274248308653E+000                  5.0924261105917275E+000                  7.2650091009018991E-001                  2.5473735130685465E-001                  1.8761738602955491E-002                  1.0003016594264240E+000                  7.8124999999998115E-013                  8.3583450988937996E+005 
                                      33                  9.9999999995618682E-001                  1.3042030007627873E-004                  3.8324903684559404E+000                 -6.5522964292881758E+000                  5.0960908959883362E+000                  7.2650091009017570E-001                  2.5473735130686653E-001                  1.8761738602957712E-002                  1.0003003489344913E+000                  1.5624999999999623E-012                  8.3724721252833062E+005 
                                      34                  9.9999999995462441E-001                  1.2928479385989437E-004                  3.8352555641251609E+000                 -6.5514614490906160E+000                  5.0997250526137625E+000                  7.2650091009016082E-001                  2.5473735130687880E-001                  1.8761738602960376E-002                  1.0002977335529313E+000                  7.8124999999997468E-013                  8.3864089136046229E+005 
                                      35                  9.9999999995384314E-001                  1.2871812794055550E-004                  3.8371134409094676E+000                 -6.5509372808703157E+000                  5.1021310507280262E+000                  7.2650091009014583E-001                  2.5473735130689135E-001                  1.8761738602962819E-002                  1.0002964283688025E+000                  7.8124999999998115E-013                  8.3954794683272438E+005 
                                      36                  9.9999999995306188E-001                  1.2815214332718310E-004                  3.8399195694763675E+000                 -6.5501972087704576E+000                  5.1057152572534070E+000                  7.2650091009013062E-001                  2.5473735130690406E-001                  1.8761738602965261E-002                  1.0002951247556047E+000                  1.5624999999999558E-012                  8.4087253816877631E+005 
                                      37                  9.9999999995149924E-001                  1.2702209480306334E-004                  3.8437125685513345E+000                 -6.5493118888190223E+000                  5.1104486936344697E+000                  7.2650091009012252E-001                  2.5473735130691061E-001                  1.8761738602966815E-002                  1.0002925219581806E+000                  1.5624999999999623E-012                  8.4257451869988407E+005 
                                      38                  9.9999999994993682E-001                  1.2589433877075530E-004                  3.8475350578132814E+000                 -6.5485122255388548E+000                  5.1151311437387195E+000                  7.2650091009011430E-001                  2.5473735130691738E-001                  1.8761738602968370E-002                  1.0002899244477170E+000                  1.5624999999999623E-012                  8.4418915267068264E+005 
                                      39                  9.9999999994837430E-001                  1.2476864859484855E-004                  3.8513690334162902E+000                 -6.5477794753243419E+000                  5.1197636946950089E+000                  7.2650091009010576E-001                  2.5473735130692432E-001                  1.8761738602969924E-002                  1.0002873317021754E+000                  1.5624999999999623E-012                  8.4571065127156326E+005 
                                      40                  9.9999999994681166E-001                  1.2364484737285050E-004                  3.8542424843474303E+000                 -6.5472639228625997E+000                  5.1232060005644122E+000                  7.2650091009008855E-001                  2.5473735130693881E-001                  1.8761738602972589E-002                  1.0002847433140698E+000                  7.8124999999998115E-013                  8.4678880527953780E+005 
                                      41                  9.9999999994603050E-001                  1.2308361013423777E-004                  3.8561510736157367E+000                 -6.5469302038768822E+000                  5.1254858177332414E+000                  7.2650091009007089E-001                  2.5473735130695335E-001                  1.8761738602975697E-002                  1.0002834506504330E+000                  7.8124999999998115E-013                  8.4747639431268128E+005 
                                      42                  9.9999999994524924E-001                  1.2252280182073884E-004                  3.8590006776260495E+000                 -6.5464418337235797E+000                  5.1288832771299662E+000                  7.2650091009005302E-001                  2.5473735130696817E-001                  1.8761738602978806E-002                  1.0002821589763820E+000                  1.5624999999999558E-012                  8.4846157291259861E+005 
