                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                       dq                                   csound 
                                      28                  9.9999999996478106E-001                 -2.1147580440187796E-005                  3.8130042258844234E+000                 -6.5611169509483576E+000                  5.0677959014219027E+000                  7.2698714848196133E-001                  2.5429037407351607E-001                  1.8722477444522601E-002                  9.9995130708206414E-001                  7.8125000000000053E-013                  8.2618378412937955E+005 
                                      29                  9.9999999996399980E-001                 -2.1727588345318310E-005                  3.8153409304530457E+000                 -6.5595888476526873E+000                  5.0716789966030396E+000                  7.2698714848195356E-001                  2.5429037407352256E-001                  1.8722477444523822E-002                  9.9994997163042998E-001                  1.5625000000000075E-012                  8.2766405978340970E+005 
                                      30                  9.9999999996243727E-001                 -2.2883536640753090E-005                  3.8185638500980255E+000                 -6.5577148244677144E+000                  5.0768030863947473E+000                  7.2698714848194956E-001                  2.5429037407352589E-001                  1.8722477444524488E-002                  9.9994731009781768E-001                  1.5625000000000075E-012                  8.2965041838081903E+005 
                                      31                  9.9999999996087474E-001                 -2.4034516824518268E-005                  3.8210604424228976E+000                 -6.5564302573073432E+000                  5.0806069048007947E+000                  7.2698714848194113E-001                  2.5429037407353294E-001                  1.8722477444525931E-002                  9.9994466001115623E-001                  7.8125000000000700E-013                  8.3114339928487572E+005 
                                      32                  9.9999999996009348E-001                 -2.4608310651237894E-005                  3.8227484423298979E+000                 -6.5556168644666100E+000                  5.0831244132013378E+000                  7.2698714848193247E-001                  2.5429037407354005E-001                  1.8722477444527486E-002                  9.9994333887603282E-001                  7.8125000000000053E-013                  8.3212994605252519E+005 
                                      33                  9.9999999995931221E-001                 -2.5181033086981517E-005                  3.8244612871041657E+000                 -6.5548436916175472E+000                  5.0856274253987115E+000                  7.2698714848192370E-001                  2.5429037407354738E-001                  1.8722477444528929E-002                  9.9994202020948075E-001                  7.8125000000000700E-013                  8.3311180590096919E+005 
                                      34                  9.9999999995853106E-001                 -2.5752739075301935E-005                  3.8261983069052188E+000                 -6.5541099199923725E+000                  5.0881161074322740E+000                  7.2698714848191470E-001                  2.5429037407355481E-001                  1.8722477444530483E-002                  9.9994070388498557E-001                  7.8125000000000053E-013                  8.3408768511808792E+005 
                                      35                  9.9999999995774969E-001                 -2.6323482192694094E-005                  3.8288364308234906E+000                 -6.5530699730071564E+000                  5.0918226128305433E+000                  7.2698714848190560E-001                  2.5429037407356236E-001                  1.8722477444532037E-002                  9.9993938977918106E-001                  1.5625000000000075E-012                  8.3553173603672243E+005 
                                      36                  9.9999999995618716E-001                 -2.7462245058755060E-005                  3.8324450553040403E+000                 -6.5518267147191986E+000                  5.0967159711397203E+000                  7.2698714848190082E-001                  2.5429037407356625E-001                  1.8722477444532926E-002                  9.9993676784314467E-001                  1.5625000000000075E-012                  8.3743113422127406E+005 
                                      37                  9.9999999995462463E-001                 -2.8597761560350939E-005                  3.8352107461917786E+000                 -6.5509921323277709E+000                  5.1003501815555659E+000                  7.2698714848189117E-001                  2.5429037407357441E-001                  1.8722477444534480E-002                  9.9993415338852143E-001                  7.8125000000000053E-013                  8.3882691520160087E+005 
